prefecture 2015,percentage distribution by prefecture 2015,"ratio of population of foreigners (per 100,000 persons) 2015","ratio of population of foreigners [korean] (per 100,000 persons) 2015","ratio of population of foreigners [chinese] (per 100,000 persons) 2015","ratio of population of foreigners [american] (per 100,000 persons) 2015",population per 1 k㎡ of total land area 2015,population per 1 k㎡ of inhabitable area 2015,rate of day to night population 2015,ratio of dids (densely inhabited districts) population 2015,ratio of dids area 2015,population by sex [all ages] 2015,population by sex [15-64 years old] 2015,population by sex [65 years old and over] 2015,ratio of population [under15 years old] 2015,ratio of population [15-64 years old] 2015,ratio of population [65 years old and over] 2015,ratio of juvenile population 2015,ratio of aged population 2015,ratio of dependent population 2015,aging index 2015,"ratio of never-married population [20-24 years old, male] 2015","ratio of never-married population [20-24 years old, female] 2015","ratio of never-married population [25-29 years old, male] 2015","ratio of never-married population [25-29 years old, female] 2015","ratio of never-married population [30-34 years old, male] 2015","ratio of never-married population [30-34 years old, female] 2015","ratio of never-married population [35-39 years old, male] 2015","ratio of never-married population [35-39 years old, female] 2015","ratio of never-married population [40-44 years old, male] 2015","ratio of never-married population [40-44 years old, female] 2015","ratio of never-married population [45-49 years old, male] 2015","ratio of never-married population [45-49 years old, female] 2015","ratio of widowed population [60 years old and over, male] 2015","ratio of widowed population [60 years old and over, female] 2015","ratio of divorced population [40-49 years old, male] 2015","ratio of divorced population [40-49 years old, female] 2015","ratio of divorced population [50-59 years old, male] 2015","ratio of divorced population [50-59 years old, female] 2015",rates of population change 2015,rates of natural change 2015,"crude birth rate (per 1,000 persons) 2015",total fertility rate 2015,"crude death rate (per 1,000 persons) 2015","crude death rate [male] (per 1,000 persons) 2015","crude death rate [female] (per 1,000 persons) 2015","death rate of 0-4 years old (per 1,000 persons) 2015","death rate of 65 years old and over (per 1,000 persons) 2015","age-adjusted death rate [male] (per 1,000 persons) 2015","age-adjusted death rate [female] (per 1,000 persons) 2015",rate of net-migration 2015,rate of in-migrants from other prefectures 2015,rate of out-migrants to other prefectures 2015,ratio of in flow population 2015,ratio of out flow population 2015,percentage distribution of private households 2015,members per private household 2015,ratio of family nuclei households 2015,ratio of dual-income households 2015,ratio of one-person households 2015,ratio of households with members 65 years old and over 2015,ratio of aged-couple households 2015,ratio of aged-single person households 2015,"rate of marriages (per 1,000 persons) 2015","rate of divorces (per 1,000 persons) 2015",mma 2015,gpkg_key 2015
Hiroshima-ken,2.24,1225.5,271.0,411.8,23.7,335.4,1230.7,100.2,64.5,13.1,93.8,100.6,74.9,13.4,59.1,27.5,22.6,46.6,69.2,206.0,91.4,88.1,66.4,55.9,42.1,31.0,32.1,22.2,27.6,18.0,23.9,15.5,8.5,34.4,5.7,9.9,7.4,10.0,-0.07,-0.22,8.33,1.6,10.51,10.92,10.12,0.57,34.75,4.71,2.47,-0.1,1.65,1.75,1.26,1.05,2.27,2.29,57.51,25.24,34.49,41.13,12.95,11.91,4.82,1.74,Hiroshima,Hiroshima
Hokkaido,4.23,402.8,76.0,165.0,18.5,68.6,240.5,99.9,75.2,3.6,89.2,95.9,71.8,11.4,59.6,29.1,19.1,48.8,67.9,256.2,90.6,87.4,67.7,58.5,45.6,35.8,34.7,25.9,29.4,22.1,25.7,19.0,8.7,33.1,6.1,11.4,8.0,12.1,-0.52,-0.45,6.82,1.31,11.27,12.37,10.29,0.55,34.49,5.05,2.66,-0.16,0.88,1.05,0.12,0.18,4.57,2.13,55.94,21.14,37.29,40.98,13.43,13.1,4.73,2.08,Sappora,Hokkaido
Hyogo-ken,4.35,1400.6,650.2,326.2,29.8,658.8,1988.8,95.7,77.7,21.0,91.3,95.6,76.0,12.9,60.0,27.1,21.5,45.2,66.7,209.6,91.9,90.2,69.4,61.0,43.7,35.1,32.2,24.4,26.6,19.2,22.4,16.1,8.2,32.6,4.9,9.1,6.8,10.1,-0.27,-0.21,7.95,1.48,10.01,10.74,9.34,0.49,33.43,4.78,2.56,-0.13,1.59,1.72,2.59,6.94,4.34,2.35,59.26,22.95,32.7,42.16,12.65,12.38,4.77,1.77,Keihanshin,Hyago
Ibaraki-ken,2.3,1416.2,133.6,349.0,20.5,478.4,733.9,97.5,38.2,6.2,99.3,106.4,81.5,12.6,60.6,26.8,20.9,44.2,65.0,211.8,92.0,88.2,71.4,58.4,48.0,32.4,36.4,21.5,31.0,16.6,26.7,12.7,8.9,32.3,5.2,9.5,6.4,8.4,-0.34,-0.32,7.44,1.48,10.64,11.14,10.14,0.6,35.37,5.11,2.74,-0.17,1.56,1.72,2.98,5.52,2.1,2.55,57.4,28.12,28.36,43.99,11.67,8.92,4.63,1.78,Kanto,Ibaraki
Ishikawa-ken,0.91,806.6,113.8,303.6,18.0,275.7,829.1,100.2,51.5,7.8,93.8,101.4,74.1,13.0,59.1,27.9,22.1,47.2,69.2,213.8,91.7,87.6,67.2,57.3,43.2,31.7,31.7,21.6,26.2,16.4,22.4,13.3,8.0,35.4,4.9,8.5,6.3,9.0,-0.26,-0.28,7.86,1.54,10.64,10.83,10.47,0.44,35.0,4.73,2.5,-0.02,1.55,1.58,1.2,0.98,0.85,2.48,54.89,31.63,31.51,43.94,11.94,10.12,4.51,1.48,,Ishikawa
Iwate-ken,1.01,392.1,61.5,157.4,12.3,83.8,344.5,99.8,31.9,2.3,92.7,103.3,71.0,11.9,57.8,30.4,20.5,52.6,73.1,256.0,88.5,86.4,66.3,54.3,45.9,32.1,36.0,22.8,31.2,18.2,28.1,15.2,9.3,38.0,6.0,10.8,6.8,9.4,-0.81,-0.6,6.89,1.49,12.9,13.44,12.39,0.76,38.22,5.23,2.68,-0.32,1.38,1.7,0.91,1.14,0.92,2.54,51.29,29.84,30.36,50.1,10.93,10.91,4.1,1.53,,Iwate
Kagawa-ken,0.77,709.6,71.1,281.8,12.4,520.2,970.9,100.2,32.6,7.6,93.7,100.1,75.7,12.8,57.3,29.9,22.3,52.3,74.6,234.0,89.7,86.4,66.7,57.0,43.5,31.5,32.5,21.9,26.4,17.1,23.3,14.1,8.9,34.5,5.9,10.3,7.1,9.9,-0.38,-0.4,7.91,1.63,11.87,12.25,11.52,0.43,36.71,4.79,2.5,-0.05,1.84,1.89,1.25,1.02,0.75,2.39,57.21,27.02,31.55,45.38,13.53,12.12,4.74,1.81,,Kagawa
Kagoshima-ken,1.3,354.8,25.8,135.5,14.5,179.4,497.5,99.9,40.2,3.7,88.3,93.9,71.0,13.5,57.0,29.4,23.7,51.6,75.3,217.3,89.5,86.6,63.2,56.5,39.1,32.3,29.0,23.0,25.9,19.9,24.1,17.1,9.2,36.5,6.2,11.5,8.1,11.4,-0.83,-0.44,8.57,1.7,12.96,13.39,12.57,0.67,39.88,5.12,2.65,-0.32,1.6,1.93,0.57,0.68,1.35,2.2,58.55,25.06,35.66,43.07,13.97,15.33,4.69,1.87,,Kagoshima
Kanagawa-ken,7.18,1583.4,255.2,507.3,50.9,3777.7,6205.8,91.2,94.4,64.4,99.8,106.4,80.8,12.6,63.5,23.9,19.9,37.6,57.4,189.2,91.9,90.3,71.9,62.4,47.4,34.5,35.4,23.3,31.2,18.9,26.6,15.4,7.7,29.2,3.8,6.9,5.6,8.8,0.26,-0.03,8.05,1.39,8.3,8.99,7.62,0.54,30.64,4.61,2.49,0.15,2.31,2.16,3.6,12.4,7.43,2.26,58.39,22.05,35.5,35.58,10.79,10.06,5.29,1.78,Kanto,Kanagawa
Kochi-ken,0.57,444.3,59.0,120.3,14.1,102.5,626.1,99.9,43.5,4.7,88.9,97.7,70.4,11.6,55.5,32.8,20.9,59.2,80.1,282.5,90.1,87.2,68.6,58.8,46.7,35.4,35.6,25.9,29.9,21.2,26.0,18.7,8.5,35.3,7.3,12.2,8.9,12.4,-1.05,-0.68,6.94,1.51,13.76,14.22,13.35,0.56,38.63,5.06,2.45,-0.31,1.26,1.58,0.42,0.51,0.6,2.2,54.92,24.23,36.43,48.08,13.16,16.49,4.2,1.86,,Kochi
